,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Item type,Title,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Sub-type,Series,Journal,Item Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,URL,Content Type
269,Performance Evaluation of Cloud Services for Russian Companies,A. Bataev,"Graduate school of public and financial management, Peter the Great St.Petersburg Polytechnic University, St. Petersburg, Russia",2020 26th Conference of Open Innovations Association (FRUCT),7 May 2020,2020.0,,,46,51,"The current stage of development of the global economic system is characterized by the massive introduction of innovations, the characteristic feature is the acceleration of using innovative technologies: that previously took years is now being implemented in a few months. The development and using innovative digital technologies has led the economy to a new qualitative stage of development associated with the creation of a “smart economy” that allows meeting the needs and requirements of each person. Cloud computing is one of the leading technologies that have become widespread in the economy, the use of which allows significantly reducing costs and business developments. Cloud technologies are used both in enterprises and in financial institutions. Today, despite cloud computing being widespread, many companies still take a wait and see attitude on the implementation of these technologies. In this regard, a large-scale analysis of the Russian market of cloud services for data processing centers is conducted in this study, financial indicators of the market are analyzed, revenue from Russian cloud services is estimated, growth rates, leaders in the provision of cloud services and their main consumers are determined. The main task when innovative technologies are introduced is the efficiency of the used information system. In this regard, a comparative cost analysis is performed in this article using traditional corporate data centers and cloud data centers. Based on an analysis of the main indicators characterizing the capacity utilization of cloud and traditional data processing centers and value indicators, a model is obtained that determines the possibility and necessity of using cloud data processing centers in comparison with traditional data centers for Russian companies.",2305-7254,978-952-69244-2-7,10.23919/FRUCT48808.2020.9087427,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9087427,,,business data processing;cloud computing;computer centres;DP industry;economics;financial data processing;information systems;software performance evaluation;Web services,Russian companies;performance evaluation;global economic system;innovative digital technologies;smart economy;cloud computing;business developments;cloud technologies;Russian market;Russian cloud services;comparative cost analysis;corporate data centers;cloud data centers;data processing centers;cloud data processing centers;information system;financial indicators,,2.0,,21.0,,7 May 2020,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
270,CloudAnalyst: A CloudSim-Based Visual Modeller for Analysing Cloud Computing Environments and Applications,B. Wickremasinghe; R. N. Calheiros; R. Buyya,"The Cloud Computing and Distributed Systems (CLOUDS) Laboratory Department of Computer Science and Software Engineering, University of Melbourne, Australia; Pontifical Catholic University of Rio Grande do Sul, Porto Alegre, Brazil; The Cloud Computing and Distributed Systems (CLOUDS) Laboratory Department of Computer Science and Software Engineering, University of Melbourne, Australia",2010 24th IEEE International Conference on Advanced Information Networking and Applications,1 Jun 2010,2010.0,,,446,452,"Advances in Cloud computing opens up many new possibilities for Internet applications developers. Previously, a main concern of Internet applications developers was deployment and hosting of applications, because it required acquisition of a server with a fixed capacity able to handle the expected application peak demand and the installation and maintenance of the whole software infrastructure of the platform supporting the application. Furthermore, server was underutilized because peak traffic happens only at specific times. With the advent of the Cloud, deployment and hosting became cheaper and easier with the use of pay-peruse flexible elastic infrastructure services offered by Cloud providers. Because several Cloud providers are available, each one offering different pricing models and located in different geographic regions, a new concern of application developers is selecting providers and data center locations for applications. However, there is a lack of tools that enable developers to evaluate requirements of large-scale Cloud applications in terms of geographic distribution of both computing servers and user workloads. To fill this gap in tools for evaluation and modeling of Cloud environments and applications, we propose CloudAnalyst. It was developed to simulate large-scale Cloud applications with the purpose of studying the behavior of such applications under various deployment configurations. CloudAnalyst helps developers with insights in how to distribute applications among Cloud infrastructures and value added services such as optimization of applications performance and providers incoming with the use of Service Brokers.",2332-5658,978-1-4244-6696-2,10.1109/AINA.2010.32,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5474733,Cloud Computing;Modeling;Simulation,Cloud computing;Application software;Internet;Web server;Large-scale systems;Software maintenance;Traffic control;Pricing;Distributed computing;Computational modeling,computer centres;digital simulation;file servers;Internet;software maintenance,CloudAnalyst;cloudsim-based visual modeller;cloud computing environment analysis;Internet;software infrastructure maintenance;cloud providers;pricing models;data center locations;computing servers;service brokers,,298.0,6.0,15.0,IEEE,1 Jun 2010,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
271,Cloudstep: A step-by-step decision process to support legacy application migration to the cloud,P. V. Beserra; A. Camara; R. Ximenes; A. B. Albuquerque; N. C. Mendonça,"Programa de Pós-Graduação em Informática Aplicada (PPGIA), Universidade de Fortaleza, Fortaleza, Ceara, Brazil; Programa de Pós-Graduação em Informática Aplicada (PPGIA), Universidade de Fortaleza, Fortaleza, Ceara, Brazil; Programa de Pós-Graduação em Informática Aplicada (PPGIA), Universidade de Fortaleza, Fortaleza, Ceara, Brazil; Programa de Pós-Graduação em Informática Aplicada (PPGIA), Universidade de Fortaleza, Fortaleza, Ceara, Brazil; Programa de Pós-Graduação em Informática Aplicada (PPGIA), Universidade de Fortaleza, Fortaleza, Ceara, Brazil",2012 IEEE 6th International Workshop on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems (MESOCA),24 Dec 2012,2012.0,,,7,16,"Cloud computing is an emerging computing paradigm whose benefits (such as high scalability, reduced IT costs, self-service on demand, and pay-as-you-go price models) have increasingly attracted the interest of the corporate world. Nevertheless, many organizations have found it difficult to adopt cloud-based solutions, particularly regarding the migration of their existing legacy applications to this new environment. One of the main obstacles faced by those organizations is the lack of a general process to help application developers not only in selecting the cloud models and services best suited for their application, but also in carefully assessing the various risks and benefits involved. To fill this gap, this paper presents Cloudstep, a step-by-step decision process aimed at supporting legacy application migration to the cloud. The process relies on the creation of template-based profiles characterizing the organization, the target legacy application and candidate cloud providers, which are then cross-analyzed to help identify and possibly resolve critical constraints (either technical or non technical) that may hinder migration to the cloud. The use of the process is illustrated through an analysis of key factors influencing the migration of a commercial medical application to different infrastructure-as-a-service cloud providers.",2326-6937,978-1-4673-3001-5,10.1109/MESOCA.2012.6392602,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392602,cloud computing;legacy application;cloud migration;decision support process,Organizations;Cloud computing;Availability;Security;Conferences;Maintenance engineering,cloud computing;decision making,Cloudstep;step-by-step decision process;legacy application migration;cloud computing;self-service on demand;pay-as-you-go price models;cloud-based solutions;cloud models;cloud services;template-based profiles;candidate cloud providers;critical constraints;commercial medical application;infrastructure-as-a-service cloud providers,,44.0,2.0,23.0,IEEE,24 Dec 2012,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
272,H₂O-Cloud: A Resource and Quality of Service-Aware Task Scheduling Framework for Warehouse-Scale Data Centers,M. Cheng; J. Li; P. Bogdan; S. Nazarian,"Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, USA; Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, USA; Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, USA; Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, USA",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,22 Sep 2020,2020.0,39.0,10,2925,2937,"Cloud computing has attracted both end-users and cloud service providers (CSPs) in recent years. Improving resource utilization rate (RUtR), such as CPU and memory usages on servers, while maintaining quality of service (QoS) is one key challenge faced by CSPs with warehouse-scale datacenters. Prior works proposed various algorithms to reduce energy cost or to improve RUtR, which either lack the fine-grained task scheduling capabilities, or fail to take a comprehensive system model into consideration. This article presents H2O-Cloud, a Hierarchical and Hybrid Online task scheduling framework for warehouse-scale Cloud service providers, to improve resource usage effectiveness while maintaining QoS. H2O-Cloud is highly scalable and considers comprehensive information, such as various workload scenarios, cloud platform configurations, user request information, and dynamic pricing model. The hierarchy and hybridity of the framework, combined with its deep reinforcement learning (DRL) engines, enable H2O-Cloud to efficiently start on-the-go scheduling and learning in an unpredictable environment without pretraining. Our experiments confirm the high efficiency of the proposed H2O-Cloud when compared to baseline approaches, in terms of energy and cost while maintaining QoS. Compared with a state-of-the-art DRL-based algorithm, H2O-Cloud achieves up to 201.17% energy cost efficiency improvement, 47.88% energy efficiency improvement, and 551.76% reward rate improvement.",1937-4151,,10.1109/TCAD.2019.2930575,U.S. Army Research Office(grant numbers:W911NF-17-1-0076); Defense Advanced Research Projects Agency Young Faculty Award(grant numbers:N66001-17-1-4044); National Science Foundation Career Award(grant numbers:CPS/CNS-1453860); National Science Foundation(grant numbers:CCF-1423624); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8770260,Cloud resource management;deep reinforcement learning (DRL);hierarchical and hybrid framework;quality of service-aware;task scheduling,Task analysis;Servers;Cloud computing;Resource management;Quality of service;Integrated circuit modeling;Scheduling,cloud computing;computer centres;energy conservation;learning (artificial intelligence);pricing;quality of service;resource allocation;scheduling,energy cost efficiency improvement;service-aware task scheduling framework;warehouse-scale data centers;Cloud computing;CSPs;resource utilization rate;QoS;fine-grained task scheduling capabilities;resource usage effectiveness;cloud platform configurations;warehouse-scale cloud service providers;reward rate improvement;H2O-Cloud;hierarchical and hybrid online task scheduling framework,,12.0,,42.0,IEEE,23 Jul 2019,,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,
273,An Algorithm for Cost-Effectively Storing Scientific Datasets with Multiple Service Providers in the Cloud,D. Yuan; X. Liu; L. Cui; T. Zhang; W. Li; D. Cao; Y. Yang,"Centre for Computing Engineering and Software Systems, Swinburne University of Technology, Melbourne, Australia; Shanghai Key Laboratory of Trustworthy Computing, Software Engineering Institute of East China Normal University, Shanghai, China; School of Computer Science and Technology, Shandong University, Jinan, China; School of Computer Science and Technology, Shandong University, Jinan, China; Centre for Computing Engineering and Software Systems, Swinburne University of Technology, Melbourne, Australia; Centre for Computing Engineering and Software Systems, Swinburne University of Technology, Melbourne, Australia; School of Computer Science and Technology, Anhui University, Hefei, China",2013 IEEE 9th International Conference on e-Science,16 Dec 2013,2013.0,,,285,292,"The proliferation of cloud computing allows scientists to deploy computation and data intensive applications without infrastructure investment, where large generated datasets can be flexibly stored with multiple cloud service providers. Due to the pay-as-you-go model, the total application cost largely depends on the usage of computation, storage and bandwidth resources, and cutting the cost of cloud-based data storage becomes a big concern for deploying scientific applications in the cloud. In this paper, we propose a novel algorithm that can automatically decide whether a generated dataset should be 1) stored in the current cloud, 2) deleted and re-generated whenever reused or 3) transferred to cheaper cloud service for storage. The algorithm finds the trade-off among computation, storage and bandwidth costs in the cloud, which are three key factors for the cost of storing generated application datasets with multiple cloud service providers. Simulations conducted with popular cloud service providers' pricing models show that the proposed algorithm is highly cost-effective to be utilised in the cloud.",,978-0-7695-5083-1,10.1109/eScience.2013.34,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6683919,cloud computing;scientific application;datasets storage,Bandwidth;Cloud computing;Computational modeling;Algorithm design and analysis;Finite element analysis;Data models;Educational institutions,bandwidth allocation;cloud computing;pricing;resource allocation;scientific information systems,cost-effective scientific dataset storage algorithm;cloud computing;data intensive applications;infrastructure investment;pay-as-you-go model;storage resources;bandwidth resources;cloud-based data storage;bandwidth costs;storage costs;cloud service provider pricing models,,10.0,,36.0,IEEE,16 Dec 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
274,CloudGuide: Helping users estimate cloud deployment cost and performance for legacy web applications,S. H. Liew; Y. -Y. Su,"Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan",4th IEEE International Conference on Cloud Computing Technology and Science Proceedings,4 Feb 2013,2012.0,,,90,98,"With cloud business growing, many companies are joining the market as cloud service providers. Most providers offer similar services with slightly different pricing models, and performance data remains scarce. This leaves cloud users with the puzzle of guessing what costs they will need to pay to run their legacy applications in a cloud environment. Cloud Guide is a tool suite that provides users with an estimated cost of running a legacy application on various cloud providers based on specific performance requirements. CloudGuide predicts the cloud computing resources required by a targeted application based on a queuing model and estimates the deployment cost for the application. CloudGuide allows users to explore cloud configurations that meet different performance requirements and cost constraints, and can be used to find new configuration when workload changes. The experiments presented in this study evaluated a multi-tiered network application and showed that CloudGuide can choose high-quality cloud configuration and can be used to assist system administrators with dynamic provisioning decisions.",,978-1-4673-4510-1,10.1109/CloudCom.2012.6427577,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6427577,cost estimation;cloud infrastructure as a service;performance prediction,Servers;Cloud computing;Benchmark testing;Time factors;Throughput;Pricing;Computational modeling,business data processing;cloud computing;pricing;queueing theory;software cost estimation;software maintenance;software performance evaluation,CloudGuide;cloud deployment cost estimation;legacy Web application performance estimation;cloud business;cloud service providers;pricing models;performance data;cloud users;cloud environment;performance requirements;cloud computing resource prediction;queuing model;deployment cost estimation;cost constraints;multitiered network application;high-quality cloud configuration;system administrators;dynamic provisioning decisions,,9.0,,26.0,IEEE,4 Feb 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
275,Cost/Performance Evaluation for Cloud Applications Using Simulation,M. Rak; A. Cuomo; U. Villano,"Dipartimento di Ingegneria dellInformazione, Seconda Università di Napoli, Aversa, Italy; Dipartimento di Ingegneria, Università del Sannio, Benevento, Italy; Dipartimento di Ingegneria, Università del Sannio, Benevento, Italy",2013 Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises,29 Jul 2013,2013.0,,,152,157,"The pay-per-use business model is one of the key factors for the success of the cloud computing paradigm: resources are acquired only when needed and charged on the basis of their actual usage. The execution of applications in the cloud implies costs that depend on the usage of the leased resources and on the resource pricing model adopted by the providers. This paper presents a technique to evaluate the trade-off between costs and performance of cloud applications through the use of benchmarks and simulation. Given a mOSAIC cloud application, it is possible to predict performance indexes and resource consumption under generic workloads. This makes it possible to choose the deployment on the resources of the provider that guarantees the desired performance levels and minimizes the costs for executing the application.",1524-4547,978-1-4799-0405-1,10.1109/WETICE.2013.36,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6570602,Cloud Computing;Discrete-event Simulation;Performance Prediction,Computational modeling;Benchmark testing;Pricing;Predictive models;Time factors;Optimization;Load modeling,cloud computing;costing;resource allocation;software performance evaluation,cost-performance evaluation;pay-per-use business model;cloud computing paradigm;resource pricing model;mOSAIC cloud application;performance indexes;resource consumption;generic workloads,,9.0,,14.0,IEEE,29 Jul 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
276,Predictive Cyber Foraging for Visual Cloud Computing in Large-Scale IoT Systems,J. Patman; D. Chemodanov; P. Calyam; K. Palaniappan; C. Sterle; M. Boccia,"Department of Electrical Engineering and Computer Science, University of Missouri, Columbia, MO, USA; Department of Electrical Engineering and Computer Science, University of Missouri, Columbia, MO, USA; Department of Electrical Engineering and Computer Science, University of Missouri, Columbia, MO, USA; Department of Electrical Engineering and Computer Science, University of Missouri, Columbia, MO, USA; Department of Electrical Engineering and Information Technology, University of Naples Federico II, Naples, Italy; Department of Electrical Engineering and Information Technology, University of Naples Federico II, Naples, Italy",IEEE Transactions on Network and Service Management,9 Dec 2020,2020.0,17.0,4,2380,2395,"Cyber foraging has been shown to be especially effective for augmenting low-power Internet-of-Thing (IoT) devices by offloading video processing tasks to nearby edge/cloud computing servers. Factors such as dynamic network conditions, concurrent user access, and limited resource availability, cause offloading decisions that negatively impact overall processing throughput and end-user delays. Moreover, edge/cloud platforms currently offer both Virtual Machine (VM) and serverless computing pricing models, but many existing edge offloading approaches only investigate single VM-based offloading performance. In this paper, we propose a predictive (NP-complete) scheduling-based offloading framework and a heuristic-based counterpart that use machine learning to dynamically decide what combinations of functions or single VM needs to be deployed so that tasks can be efficiently scheduled. We collected over 10,000 network and device traces in a series of realistic experiments relating to a protest crowds incident management application. We then evaluated the practicality of our predictive cyber foraging approach using trace-driven simulations for up to 1000 devices. Our results indicate that predicting single VM offloading costs: (a) leads to near-optimal scheduling in 70% of the cases for service function chaining, and (b) offers a 40% gain in performance over traditional baseline estimation techniques that rely on simple statistics for estimations in the case of single VM-offloading. Considering a series of visual computing offloading scenarios, we also validate our approach benefits of using online versus offline machine learning models for predicting offloading delays.",1932-4537,,10.1109/TNSM.2020.3010497,"National Science Foundation(grant numbers:CNS-1647182,CNS-1359125); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9144518,Computation offloading;cyber foraging;edge/cloud computing;machine learning;online job scheduling,Computational modeling;Edge computing;Predictive models;Performance evaluation;Servers;Task analysis;Estimation,cloud computing;computational complexity;computer network management;Internet of Things;learning (artificial intelligence);mobile computing;telecommunication scheduling;video servers;video streaming;virtual machines,predictive cyber foraging;visual cloud computing;large-scale IoT systems;low-power Internet-of-Thing devices;video processing tasks;edge computing servers;cloud computing servers;dynamic network conditions;concurrent user access;limited resource availability;offloading decisions;end-user delays;serverless computing pricing models;edge offloading;single VM-based offloading performance;device traces;protest crowds incident management application;trace-driven simulations;single VM offloading costs;near-optimal scheduling;service function chaining;visual computing offloading scenarios;online machine learning models;offloading delays;offline machine learning models;low-power IoT devices;virtual machine;predictive scheduling-based offloading framework,,6.0,,60.0,IEEE,20 Jul 2020,,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,
277,Continuous double auction for cloud market: Pricing and bidding analysis,Y. Zhang; K. Xu; X. Shi; H. Wang; J. Liu; Y. Wang,"Department of Computer Science & Technology, Tsinghua University, Beijing, China; Department of Computer Science & Technology, Tsinghua University, Beijing, China; Department of Computer Science & Technology, Tsinghua University, Beijing, China; Department of Computer Science, University of Minnesota, Duluth, Minnesota, USA; School of Computing Science, Simon Fraser University, British Columbia, Canada; School of Social Sciences of Tsinghua University, Beijing, China",2016 IEEE Wireless Communications and Networking Conference,15 Sep 2016,2016.0,,,1,6,"Cloud computing has recently attracted a substantial amount of attention from both industry and academia. Its growing demand gives normal users an opportunity to sell their local resources to the cloud market, which introduces new challenges for the existing coarse-grained pricing models. In this paper, we examine the potential of applying continuous double auction framework to handle these heterogeneous cloud resources. First, we establish an e-auction platform, on which cloud service providers and users can trade computing and storage resources online. Then we formulate a continuous double auction model for cloud market and further develop a novel belief-based hybrid bidding strategy (BH-strategy) for cloud players to ensure their profit maximization. At last, we conduct three simulation scenarios to compare the performance between BH-strategy and other dominating bidding strategies, and plenty of simulation results show that our BH-strategy outperforms others in all the scenarios on user surpluses by 20% or above. Besides, the BH-strategy can obtain a 16% higher efficiency in 1/3 the amount of time of other strategies.",1558-2612,978-1-4673-9814-5,10.1109/WCNC.2016.7564986,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7564986,Cloud Computing;Continuous Double Auction;Bidding Strategies;Resource Allocation,Cloud computing;Pricing;Computational modeling;Resource management;History,cloud computing;electronic commerce;pricing;tendering,cloud market;bidding analysis;cloud computing;coarse-grained pricing models;e-auction platform;heterogeneous cloud resources;cloud service providers;continuous double auction model;belief-based hybrid bidding strategy;BH-strategy;profit maximization,,4.0,,18.0,IEEE,15 Sep 2016,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
278,Privacy-Preserving Digital Rights Management in a Trusted Cloud Environment,R. Petrlic,"University of Paderborn, Paderborn, Germany","2012 IEEE 11th International Conference on Trust, Security and Privacy in Computing and Communications",6 Sep 2012,2012.0,,,958,963,"We present a privacy-preserving DRM scheme for a (future) cloud computing software market. In such a market, applications are packed into virtual machines (VMs) by software providers and the VMs can be executed at any computing center within the cloud. We propose the introduction of a software TPM as a container for VM-specific keys within the VM that moves around with the VM within the cloud. The software TPM is coupled to a virtual TPM at a computing center to constitute the root of trust for a local DRM enforcement system within the VM that checks the license before each application execution. This allows flexible price models, e.g. execute at most n times-like models. Users have proof that their personally identifiable information, stored and processed within the VM at a computing center, cannot be obtained by the computing center. A feature of our solution is that neither software provider nor computing center are able to build usage profiles of the software executions.",2324-9013,978-1-4673-2172-3,10.1109/TrustCom.2012.225,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6296076,,Licenses;Cryptography;Cloud computing;Computational modeling;Hardware;Digital signatures,cloud computing;data privacy;digital rights management;pricing;software houses;trusted computing;virtual machines,privacy-preserving digital rights management;trusted cloud environment;privacy-preserving DRM scheme;cloud computing software market;virtual machines;software providers;computing center;software TPM;VM-specific keys;virtual TPM;local DRM enforcement system;flexible price models;personally identifiable information;computing center;software executions,,3.0,3.0,20.0,IEEE,6 Sep 2012,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
279,SOMBA - automated anomaly detection for Cloud quality of service,J. Pendlebury; V. C. Emeakaroha; D. O'Shea; N. Cafferkey; J. P. Morrison; T. Lynn,"University College Cork, Irish Centre for Cloud Computing and Commerce, Ireland; University College Cork, Irish Centre for Cloud Computing and Commerce, Ireland; University College Cork, Irish Centre for Cloud Computing and Commerce, Ireland; University College Cork, Irish Centre for Cloud Computing and Commerce, Ireland; University College Cork, Irish Centre for Cloud Computing and Commerce, Ireland; University College Cork, Irish Centre for Cloud Computing and Commerce, Ireland",2016 2nd International Conference on Cloud Computing Technologies and Applications (CloudTech),9 Feb 2017,2016.0,,,71,79,"Cloud computing has transformed the standard model of service provisioning, allowing the delivery of on-demand services over the Internet. With its inherent requirements for elastic scalability and a pay-as-you-go pricing model, an additional level of complexity is added to its Quality of Service (QoS) management. This has made service provisioning more prone to performance anomalies due to the large-scale and evolving nature of Clouds. Existing methods for anomaly detection based on QoS monitoring in the Cloud rely on probabilistic methods, which are not computationally easy and are often valid for very short times before system dynamics change. We posit that more minimalistic approaches including automated techniques are needed for effective anomaly detection to support QoS enforcement in Clouds. In this paper, we present an automated anomaly detection scheme that recognises and adapts to changes in Clouds for efficient multi-metric performance anomaly detection to guarantee service quality. It includes a monitoring tool for collating performance data in real time for analysis and an anomaly detection technique based on an unsupervised machine learning strategy. Based on a Cloud service provisioning use case scenario, we evaluate our anomaly detection technique and compare it against two statistical anomaly detection approaches to demonstrate its efficiency.",,978-1-4673-8894-8,10.1109/CloudTech.2016.7847681,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7847681,,Monitoring;Quality of service;Cloud computing;Visualization;Resource management,cloud computing;data analysis;probability;quality of service;unsupervised learning,on-demand services;Internet;elastic scalability;pay-as-you-go pricing model;quality of service management;QoS management;performance anomalies;QoS monitoring;probabilistic methods;system dynamics;QoS enforcement;multimetric performance anomaly detection;performance data analysis;unsupervised machine learning;cloud service provisioning;statistical anomaly detection,,,,32.0,IEEE,9 Feb 2017,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
280,A Conceptual Model of Requirement Engineering in Cloud Project Delivery for Thai Government Organizations,A. Chaipunyathat; N. Porrawatpreyakorn; S. Nuchitprasitchai; K. Viriyapant,"King Mongkut's University of Technology North Bangkok, Bangkok, Thailand; King Mongkut's University of Technology North Bangkok, Bangkok, Thailand; King Mongkut's University of Technology North Bangkok, Bangkok, Thailand; King Mongkut's University of Technology North Bangkok, Bangkok, Thailand","2019 Research, Invention, and Innovation Congress (RI2C)",17 Feb 2020,2019.0,,,1,7,"The shift to cloud computing has affected the future of software engineering in several ways i.e., multilateral software development, scalability, and new technology stack such as an open-source software, plus infrastructure as code such as container, serverless architecture and software defined network (SDN). In order to support the cloud project delivery for government organizations, requirements engineering (RE) is a crucial step in software engineering that determines whether a project will be successful or result in a failure. RE steps include requirement elicitation, requirement analysis, requirement specification and requirement validation. Data is collected by semi-structured interview from the providers and the users of cloud services in 11 Thai government organizations, and from cloud service provider for meeting enterprise requirements and user requirements. The results reveal nine key issues that affect cloud project delivery: (1) lack of trust with external cloud service provider by generation X and baby boomer (2) lack of transparency as regards the legal agreement about the cloud user's personal data protection responsibility by cloud service provider, (3) the issues of reliability, security and service level agreements (4) lack of knowledge and lack of understanding of cloud technology (5) required training and a learning by doing (6) the policy to use government cloud services instead of developing their own cloud, (7) older people at top-level tend to resist cloud technology, (8) people in general lack of knowledge and understanding of cloud technology (9) problems about pricing model, it's impact on 23 cloud requirements (functional and non-functional) as well as factors that involved in RE phases. Based on these results this paper presents a Conceptual Model of Requirement Engineering for Cloud Project Delivery in Thai Government Organizations.",,978-1-7281-4100-8,10.1109/RI2C48728.2019.8999923,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999923,Requirements Engineering;Cloud Project;Software Engineering;Thai Government Organization,Training;Cloud computing;Technological innovation;Government;Requirements engineering;Software defined networking;Software engineering,cloud computing;formal specification;government data processing;security of data;software defined networking,software defined network;cloud project delivery;requirements engineering;software engineering;requirement elicitation;requirement analysis;requirement specification;requirement validation;Thai government organizations;enterprise requirements;user requirements;cloud user;security;cloud technology required training;government cloud services;cloud technology problems;cloud requirements;Requirement Engineering;Thai Government Organizations;cloud computing;multilateral software development;open-source software;cloud service provider;SDN,,,,19.0,IEEE,17 Feb 2020,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
281,MOERA: Mobility-Agnostic Online Resource Allocation for Edge Computing,L. Wang; L. Jiao; J. Li; J. Gedeon; M. Mühlhäuser,"Telecooperation Lab, Technische Universität Darmstadt, Darmstadt, Germany; Department of Computer and Information Science, University of Oregon, Eugene, OR, USA; Department of Computer and Information Science, University of Oregon, Eugene, OR, USA; Telecooperation Lab, Technische Universität Darmstadt, Darmstadt, Germany; Telecooperation Lab, Technische Universität Darmstadt, Darmstadt, Germany",IEEE Transactions on Mobile Computing,1 Jul 2019,2019.0,18.0,8,1843,1856,"To better support emerging interactive mobile applications such as those VR-/AR-based, cloud computing is quickly evolving into a new computing paradigm called edge computing. Edge computing has the promise of bringing cloud resources to the network edge to augment the capability of mobile devices in close proximity to the user. One big challenge in edge computing is the efficient allocation and adaptation of edge resources in the presence of high dynamics imposed by user mobility. This paper provides a formal study of this problem. By characterizing a variety of static and dynamic performance measures with a comprehensive cost model, we formulate the online edge resource allocation problem with a mixed nonlinear optimization problem. We propose MOERA, a mobility-agnostic online algorithm based on the “regularization” technique, which can be used to decompose the problem into separate subproblems with regularized objective functions and solve them using convex programming. Through rigorous analysis we are able to prove that MOERA can guarantee a parameterized competitive ratio, without requiring any a priori knowledge on input. We carry out extensive experiments with various real-world data and show that MOERA can achieve an empirical competitive ratio of less than 1.2, reduces the total cost by $4 \times$4× compared to static approaches, and outperforms the online greedy one-shot solution by 70 percent. Moreover, we verify that even being future-agnostic, MOERA can achieve comparable performance to approaches with perfect partial future knowledge. We also discuss practical issues with respect to the implementation of our algorithm in real edge computing systems.",1558-0660,,10.1109/TMC.2018.2867520,Deutsche Forschungsgemeinschaft(grant numbers:392046569); National Natural Science Foundation of China(grant numbers:61761136014); DFG Collaborative Research Center; National Science Foundation(grant numbers:1564348); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449107,Edge computing;resource allocation;online optimization;competitive analysis,Cloud computing;Resource management;Edge computing;Delays;Mobile computing;Mobile applications;Dynamic scheduling,approximation theory;cloud computing;convex programming;greedy algorithms;mobile computing;optimisation;resource allocation,edge computing systems;mobility-agnostic online algorithm;online edge resource allocation problem;user mobility;edge resources;mobile devices;network edge;cloud resources;computing paradigm;cloud computing;interactive mobile applications;mobility-agnostic online resource allocation;MOERA,,55.0,,45.0,IEEE,28 Aug 2018,,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,
